route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:049::8895208:8892601:4:100:20230609,Audenarde,11000,,1,,1
2,000002,88____:049::8891009:8891702:2:42:20230407,Ostende,11000,,2,,1
3,000003,88____:049::8894201:8893401:3:730:20230507,Termonde,11000,,3,,1
4,000004,88____:049::8894508:8822715:4:725:20230604,Puurs,11000,,4,,1
5,000005,88____:049::8892007:8891009:10:820:20230529,Bruges,11000,,5,,1
6,000006,88____:049::8885704:8896008:2:808:20230617,Courtrai,11000,,6,,1
7,000007,88____:049::8892007:8896008:6:2516:20230728,Courtrai,11000,,7,,1
8,000008,88____:049::8896008:8896735:8:841:20230625,Poperinge,11000,,8,,1
9,000009,88____:049::8821196:8894508:6:2440:20230623,Saint-Nicolas,11000,,9,,1
8,000010,88____:049::8896008:8896735:8:852:20230702,Poperinge,11000,,10,,1
10,000011,88____:049::8812047:8893401:10:2511:20230714,Termonde,11000,,11,,1
11,000012,88____:049::8895208:8895802:9:649:20230709,Denderleeuw,11000,,12,,1
12,000013,88____:049::8893542:8892007:6:56:20230401,Gand-Saint-Pierre,11001,,13,,1
2,000002,88____:049::8891009:8891702:2:159:20230407,Ostende,11001,,14,,1
2,000014,88____:049::8891009:8891702:2:42:20230428,Ostende,11001,,15,,1
7,000015,88____:049::8892007:8896008:6:212:20230422,Courtrai,11001,,16,,1
5,000016,88____:049::8891009:8892007:10:2422:20230512,Gand-Saint-Pierre,11001,,17,,1
3,000003,88____:049::8894201:8893401:3:830:20230507,Termonde,11001,,18,,1
5,000017,88____:049::8892007:8891009:10:2438:20230601,Bruges,11001,,19,,1
4,000004,88____:049::8894508:8822715:4:825:20230604,Puurs,11001,,20,,1
5,000005,88____:049::8892007:8891009:10:920:20230529,Bruges,11001,,21,,1
6,000006,88____:049::8885704:8896008:2:908:20230617,Courtrai,11001,,22,,1
8,000008,88____:049::8896008:8896735:8:941:20230625,Poperinge,11001,,23,,1
9,000009,88____:049::8894508:8821196:6:2425:20230623,Anvers-Sud,11001,,24,,1
8,000010,88____:049::8896008:8896735:8:952:20230702,Poperinge,11001,,25,,1
13,000018,88____:049::8894201:8821006:11:2459:20230630,Anvers-Central,11001,,26,,1
